name,베타카로틴,비타민D,비타민E,비타민K,비타민B1,비타민B2,나이아신,비타민B6,엽산,비타민B12,비오틴,비타민C,칼슘,마그네슘,철,아연,구리,셀레늄(셀렌),요오드,망간,몰리브덴,칼륨,식이섬유,단백질,프로바이오틱스,진세노사이드,루테인,EPA와 DHA의 합,비타민A
귀리식이섬유,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0,0,0.0,0.0,0.0,0.0
그린컷 카테킨 애프터,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,100.0,0.0,0.0,0.0,8.5,0.0,55.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
그린픽 뼈건강,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,150.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
기분좋은 그날 감마리놀렌산,0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
기억력개선 청명삼,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,3.0,0.0,0.0,0.0
나온데이,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,7.0,0,0,0.0,0.0,0.0,0.0
내일의 장 포스트바이오틱스,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0,0.0,0.0,0,0.0,0,1000000000,0.0,0.0,0.0,0.0
내일의 힘 멀티비타민미네랄,0,5.0,5.5,35.0,0.6,0.7,7.5,0.75,200.0,1.2,45.0,50.0,0.0,0.0,6.0,4.25,0.0,27.5,75,1.5,12.5,0,0.0,0,0,0.0,0.0,0.0,350.0
내일이다른 간건강엔 밀크씨슬,0,0.0,0.0,0.0,1.2,1.4,15.0,1.5,400.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,55.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
네이처드림 간에 좋은 밀크씨슬,0,0.0,0.0,0.0,1.05,1.22,4.5,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,20.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
네이처드림 남성건강엔 쏘팔메토 옥타코사놀,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
네이처드림 눈에좋은 루테인11,0,0.0,11.1,0.0,0.0,0.0,13.52,1.58,400.0,2.93,0.0,0.0,0.0,0.0,0.0,8.5,0.8,18.0,0,2.21,0.0,0,0.0,0,0,0.0,0.0,0.0,750.0
네이처드림 몸에 좋은 멀티비타민17,0,10.0,11.0,70.0,1.2,1.4,15.0,1.5,400.0,2.4,0.0,0.0,0.0,0.0,12.0,8.5,0.0,55.0,150,3.0,25.0,0,0.0,0,0,0.0,0.0,0.0,700.0
네이처드림 몸에 좋은 비오틴,0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,50.0,0.0,0.0,0.0,4.25,0.0,27.5,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,350.0
